Year,Comparison time period,Gender,Percentage of  Current Smokers,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Number of Respondents
1993,Definition of smoker expanded in 1996,Female,0.158,0.146,0.169,4069
1993,Definition of smoker expanded in 1996,Total,0.182,0.173,0.191,7346
1994,Definition of smoker expanded in 1996,Female,0.144,0.134,0.154,4511
1994,Definition of smoker expanded in 1996,Male,0.189,0.176,0.201,3632
1994,Definition of smoker expanded in 1996,Total,0.166,0.158,0.174,8143
1995,Definition of smoker expanded in 1996,Female,0.132,0.122,0.142,4524
1995,Definition of smoker expanded in 1996,Total,0.159,0.151,0.167,8176
1995,Definition of smoker expanded in 1996,Male,0.187,0.174,0.199,3652
1996,Survey methods changed in 2012,Total,0.178,0.169,0.186,8141
1996,Survey methods changed in 2012,Female,0.148,0.138,0.158,4656
1996,Survey methods changed in 2012,Male,0.208,0.195,0.222,3485
1997,Survey methods changed in 2012,Male,0.211,0.197,0.224,3544
1997,Survey methods changed in 2012,Female,0.139,0.129,0.149,4734
1997,Survey methods changed in 2012,Total,0.174,0.166,0.182,8278
1998,Survey methods changed in 2012,Total,0.175,0.166,0.183,8279
1998,Survey methods changed in 2012,Female,0.144,0.134,0.154,4663
1998,Survey methods changed in 2012,Male,0.206,0.193,0.22,3616
1999,Survey methods changed in 2012,Female,0.146,0.136,0.156,4851
1999,Survey methods changed in 2012,Total,0.171,0.163,0.179,8489
1999,Survey methods changed in 2012,Male,0.197,0.184,0.21,3638
2000,Survey methods changed in 2012,Male,0.187,0.174,0.2,3505
2000,Survey methods changed in 2012,Total,0.163,0.155,0.171,8234
2000,Survey methods changed in 2012,Female,0.139,0.129,0.149,4729
2001,Survey methods changed in 2012,Male,0.202,0.189,0.216,3462
2001,Survey methods changed in 2012,Total,0.164,0.156,0.172,8387
2001,Survey methods changed in 2012,Female,0.127,0.117,0.136,4925
2002,Survey methods changed in 2012,Male,0.188,0.175,0.201,3530
2002,Survey methods changed in 2012,Total,0.158,0.15,0.166,8593
2002,Survey methods changed in 2012,Female,0.128,0.119,0.138,5063
2003,Survey methods changed in 2012,Female,0.125,0.116,0.134,5115
2003,Survey methods changed in 2012,Total,0.154,0.147,0.162,8648
2003,Survey methods changed in 2012,Male,0.184,0.172,0.197,3533
2004,Survey methods changed in 2012,Total,0.146,0.138,0.153,8670
2004,Survey methods changed in 2012,Male,0.182,0.169,0.195,3495
2004,Survey methods changed in 2012,Female,0.111,0.102,0.119,5175
2005,Survey methods changed in 2012,Total,0.14,0.134,0.147,10668
2005,Survey methods changed in 2012,Female,0.111,0.103,0.163,6430
2005,Survey methods changed in 2012,Male,0.17,0.159,0.182,4238
2006,Survey methods changed in 2012,Male,0.175,0.164,0.187,4135
2006,Survey methods changed in 2012,Female,0.091,0.084,0.098,6181
2006,Survey methods changed in 2012,Total,0.133,0.126,0.139,10316
2007,Survey methods changed in 2012,Male,0.171,0.16,0.181,4906
2007,Survey methods changed in 2012,Female,0.107,0.1,0.114,7699
2007,Survey methods changed in 2012,Total,0.138,0.132,0.144,12605
2008,Survey methods changed in 2012,Total,0.133,0.128,0.138,17034
2008,Survey methods changed in 2012,Female,0.106,0.1,0.112,10366
2008,Survey methods changed in 2012,Male,0.165,0.156,0.174,4906
2009,Survey methods changed in 2012,Female,0.105,0.099,0.111,9903
2009,Survey methods changed in 2012,Male,0.158,0.149,0.167,6569
2009,Survey methods changed in 2012,Total,0.131,0.126,0.136,16472
2010,Survey methods changed in 2012,Total,0.119,0.116,0.126,17023
2010,Survey methods changed in 2012,Female,0.096,0.09,0.101,10338
2010,Survey methods changed in 2012,Male,0.147,0.138,0.155,6685
2011,Survey methods changed in 2012,Male,0.149,0.14,0.157,6813
2011,Survey methods changed in 2012,Female,0.093,0.087,0.098,10673
2011,Survey methods changed in 2012,Total,0.12,0.115,0.125,17486
2012,New survey methods,Female,0.1,0.094,0.107,8140
2012,New survey methods,Male,0.155,0.146,0.164,5884
2012,New survey methods,Total,0.127,0.122,0.133,14024
2013,New survey methods,Female,0.085,0.077,0.092,5842
2013,New survey methods,Total,0.117,0.111,0.124,10206
2013,New survey methods,Male,0.151,0.141,0.162,4364
